Column1.country,Column1.square.southwest.lng,Column1.square.southwest.lat,Column1.square.northeast.lng,Column1.square.northeast.lat,Column1.nearestPlace,Column1.coordinates.lng,Column1.coordinates.lat,Column1.words,Column1.language,Column1.map
ZZ,-46.632797,49.180331,-46.632756,49.180358,,-46.632776,49.180344,cannonball.chest.chickens,en,https://w3w.co/cannonball.chest.chickens
ZZ,0.932422,60.5625,0.932477,60.562527,"Houbie, Shetland Islands",0.932449,60.562513,cannonball.chest.diet,en,https://w3w.co/cannonball.chest.diet
ZZ,-66.440706,38.13287,-66.440672,38.132897,,-66.440689,38.132883,cannonball.chest.misfits,en,https://w3w.co/cannonball.chest.misfits
ZZ,142.076687,74.217335,142.076786,74.217362,"New Siberian Islands, Republic of Sakha (Yakutia)",142.076736,74.217349,cannonball.chest.parrot,en,https://w3w.co/cannonball.chest.parrot
ZZ,-22.756365,34.739246,-22.756332,34.739273,,-22.756348,34.73926,cannonball.chest.rowboat,en,https://w3w.co/cannonball.chest.rowboat
ZZ,133.119692,41.699062,133.119728,41.699089,"Vrangel’, Primorsky Krai",133.11971,41.699076,cannonball.chest.shady,en,https://w3w.co/cannonball.chest.shady
ZZ,-162.888689,50.920413,-162.888646,50.92044,,-162.888668,50.920426,cannonball.chest.skulls,en,https://w3w.co/cannonball.chest.skulls
ZZ,-8.606064,50.285872,-8.606022,50.285899,"Skibbereen, Munster",-8.606043,50.285886,cannonball.chest.turkey,en,https://w3w.co/cannonball.chest.turkey
ZZ,-41.469409,59.228601,-41.469357,59.228628,"Nanortalik, Kujalleq",-41.469383,59.228614,cannonball.chickens.chest,en,https://w3w.co/cannonball.chickens.chest
ZZ,-43.044326,45.600232,-43.044288,45.600259,,-43.044307,45.600245,cannonball.chickens.diet,en,https://w3w.co/cannonball.chickens.diet
ZZ,-11.391773,62.736524,-11.391714,62.736551,"S??rv??gur, V??gar",-11.391743,62.736538,cannonball.chickens.misfits,en,https://w3w.co/cannonball.chickens.misfits
ZZ,-5.391191,53.005067,-5.391146,53.005094,"Wicklow, Leinster",-5.391169,53.00508,cannonball.chickens.parrot,en,https://w3w.co/cannonball.chickens.parrot
